"Qty","Value","Device","Package","Parts","Description","DIGIKEY","DISP","MF","MPN","VALUE","VALUE_PART",
"1","","DIODE_SCHOTTKYSOD-123","SOD-123","D3","Generic Shottky Diode","MBR0520LT1GOSCT-ND","","ON Semiconductor","MBR0520LT1G","","",
"4","","DIODE_ZENERSOD-323","SOD323-R","D8, D9, D10, D11","Generic Zener Diode","BZX384B5V1-HE3-08GICT-ND","","Vishay","BZX384B5V1-HE3-08","","",
"1","","SN74LVC1G14DCK","DCK_R-PDSO-G5","U23","SN74x1G14 - Single Schmitt Triger Inverter","296-11608-1-ND","SN74LVC1G14","TI","SN74LVC1G14DCKR","","",
"6","0.1uF","C-EU0.1UFC0402","C0402","C2, C10, C11, C12, C13, C16","CAPACITOR, European symbol","490-4759-1-ND","","Murata","GCM155R71C104KA55D","","",
"6","100k","R-EU_100KR0402","R0402","R9, R10, R18, R19, R20, R21","RESISTOR, European symbol","311-100KLRCT-ND","","Yageo","RC0402FR-07100KL","","100k",
"1","100uF","CTANT_EU2917","C2917","C9","Genaric Tantalum Capacitor","718-293D107X0016D2TE3CT-ND","","Vishay","293D107X0016D2TE3","","",
"7","10k","R-EU_10KR0402","R0402","R1, R2, R3, R4, R11, R26, R27","RESISTOR, European symbol","311-10.0KLRCT-ND","","Yageo","RC0402FR-0710KL","","10k",
"2","10uF","C-EU10UFC0805","C0805","C14, C15","CAPACITOR, European symbol","490-6473-1-ND","","Murata","GRM21BR61C106KE15K","","",
"1","10uF","C-EU10UFC0805","C0805","C8","CAPACITOR, European symbol","587-2985-1-ND","","Taiyo Yuden","TMK212BBJ106KG-T","","",
"1","10uH","INDUCTOR_1008","1008","L2","Genaric Inductor","732-4851-1-ND","","Wurth","74438323100","","",
"1","115k","R-EU_115KR0603","R0603","R24","RESISTOR, European symbol","311-115KHRCT-ND","","Yageo","RC0603FR-07115KL","","115k",
"4","12V","DIODE_ESD_BI_D5V0L1_0402","D0402","D4, D5, D6, D7","Generic Bidirectional ESD Diode","D12V0L1B2LP-7BDICT-ND","","Diodes Inc","D12V0L1B2LP-7B","6V","",
"2","13.3k","R-EU_13.3KR0603","R0603","R23, R25","RESISTOR, European symbol","311-13.3KHRCT-ND","","Yageo","RC0603FR-0713K3L","","13.3k",
"1","1M","R-EU_1MR0402","R0402","R12","RESISTOR, European symbol","311-1.00MLRCT-ND","","Yageo","RC0402FR-071ML","","1M",
"8","1k","R-EU_1KR0402","R0402","R31, R32, R33, R34, R35, R36, R37, R38","RESISTOR, European symbol","311-1.00KLRCT-ND","","Yageo","RC0402FR-071KL","","1k",
"1","1pF","C-EU1PFC0402","C0402","C21","CAPACITOR, European symbol","490-6073-1-ND","","Murata","GJM1555C1H1R0BB01D","","",
"1","1uF","C-EU1UFC0603","C0603","C1","CAPACITOR, European symbol","587-2984-1-ND","","Yaiyo Yuden","TMK107B7105KA-T","","",
"1","2.048V","LM40402.048","SOT23-3","D1","LM4040 - Precision Micropower Shunt Voltage Referance","LM4040CIM3-2.0/NOPBCT-ND","","TI","LM4040CIM3-2.0/NOPB","","",
"1","200K","R-EU_200KR0402","R0402","R39","RESISTOR, European symbol","311-200KLRCT-ND","","Yageo","RC0402FR-07200KL","","200k",
"1","220pF","C-EU220PFC0603","C0603","C6","CAPACITOR, European symbol","399-1066-1-ND","","Kemet","C0603C221J5GACTU","","",
"1","22uF","C-EU22UFC0805","C0805","C3","CAPACITOR, European symbol","490-9952-1-ND","","Murata","GRM219R61C226ME15L","","",
"4","2N7002","MOSFET-NCH-2N7002P","SOT23-3","Q1, Q2, Q3, Q4","N-channel MOSFET","1727-4692-1-ND","","Nexperia","2N7002P","215","2N7002",
"1","3.3nF","C-EU3.3NFC0402","C0402","C22","CAPACITOR, European symbol","311-1034-1-ND","","Yageo","CC0402KRX7R9BB332","","",
"1","390k","R-EU_390KR0603","R0603","R13","RESISTOR, European symbol","311-390KHRCT-ND","","Yageo","RC0603FR-07390KL","","390k",
"1","39pF","C-EU39PFC0402","C0402","C7","CAPACITOR, European symbol","399-1018-1-ND","","Kemet","C0402C390J5GAC7867","","",
"1","4.7uF","C-EU4.7UFC0805","C0805","C5","CAPACITOR, European symbol","399-7415-1-ND","","Kemet","C0805C475K4RACTU","","",
